iter	Passed	Remaining
0	17	17596
1	25	12612
2	32	10839
3	40	9966
4	48	9704
5	56	9353
6	66	9386
7	77	9667
8	85	9379
9	93	9229
10	100	9026
11	108	8916
12	115	8785
13	123	8690
14	130	8595
15	137	8484
16	147	8556
17	155	8459
18	163	8442
19	170	8356
20	179	8370
21	186	8296
22	195	8304
23	202	8240
24	211	8258
25	218	8199
26	227	8209
27	235	8162
28	244	8171
29	251	8121
30	259	8110
31	266	8063
32	274	8052
33	281	8007
34	289	7991
35	297	7956
36	304	7937
37	312	7910
38	320	7896
39	328	7876
40	337	7898
41	346	7897
42	354	7899
43	362	7872
44	370	7857
45	378	7840
46	385	7825
47	394	7825
48	402	7811
49	411	7811
50	418	7790
51	426	7777
52	433	7754
53	442	7759
54	450	7733
55	459	7744
56	467	7727
57	476	7732
58	483	7707
59	492	7718
60	500	7706
61	509	7703
62	516	7685
63	524	7673
64	532	7657
65	540	7653
66	549	7646
67	557	7645
68	567	7658
69	575	7642
70	582	7624
71	590	7616
72	598	7603
73	606	7590
74	613	7570
75	622	7568
76	629	7551
77	639	7562
78	647	7552
79	655	7540
80	662	7521
81	671	7516
82	679	7501
83	688	7503
84	695	7483
85	703	7482
86	711	7462
87	720	7461
88	727	7446
89	737	7456
90	744	7440
91	754	7442
92	761	7426
93	770	7426
94	778	7412
95	786	7406
96	794	7394
97	802	7389
98	810	7375
99	819	7371
100	826	7358
101	835	7355
102	842	7341
103	851	7335
104	859	7324
105	867	7319
106	875	7310
107	885	7312
108	893	7300
109	900	7288
110	908	7273
111	916	7264
112	924	7257
113	932	7250
114	940	7240
115	948	7231
116	956	7219
117	965	7213
118	973	7203
119	981	7194
120	989	7185
121	997	7179
122	1005	7170
123	1013	7161
124	1021	7153
125	1030	7145
126	1038	7136
127	1047	7134
128	1058	7146
129	1067	7147
130	1079	7157
131	1087	7149
132	1096	7144
133	1103	7134
134	1112	7127
135	1120	7116
136	1129	7114
137	1137	7106
138	1146	7099
139	1154	7090
140	1162	7084
141	1171	7076
142	1179	7068
143	1187	7058
144	1195	7049
145	1204	7044
146	1212	7037
147	1221	7031
148	1229	7021
149	1238	7018
150	1246	7008
151	1255	7002
152	1263	6996
153	1272	6990
154	1280	6980
155	1288	6973
156	1297	6965
157	1306	6962
158	1315	6960
159	1326	6965
160	1337	6967
161	1347	6970
162	1359	6980
163	1370	6984
164	1380	6984
165	1391	6991
166	1401	6989
167	1410	6987
168	1420	6987
169	1430	6982
170	1442	6990
171	1453	6995
172	1462	6992
173	1474	6999
174	1483	6995
175	1492	6987
176	1502	6984
177	1510	6974
178	1518	6965
179	1526	6955
180	1535	6946
181	1543	6936
182	1551	6927
183	1559	6915
184	1567	6905
185	1575	6896
186	1584	6887
187	1592	6878
188	1600	6868
189	1609	6860
190	1617	6852
191	1626	6842
192	1634	6835
193	1642	6824
194	1651	6817
195	1659	6807
196	1669	6804
197	1677	6793
198	1686	6787
199	1694	6776
200	1702	6769
201	1711	6759
202	1719	6751
203	1727	6740
204	1735	6731
205	1743	6721
206	1752	6712
207	1760	6702
208	1768	6693
209	1776	6684
210	1785	6676
211	1793	6667
212	1801	6657
213	1809	6646
214	1818	6638
215	1826	6628
216	1834	6619
217	1842	6608
218	1851	6601
219	1859	6592
220	1869	6591
221	1878	6582
222	1886	6572
223	1894	6562
224	1902	6552
225	1911	6545
226	1919	6536
227	1928	6530
228	1936	6521
229	1945	6514
230	1953	6504
231	1962	6497
232	1970	6487
233	1979	6480
234	1987	6470
235	1996	6463
236	2004	6453
237	2013	6446
238	2021	6436
239	2030	6429
240	2038	6419
241	2046	6411
242	2054	6399
243	2063	6393
244	2071	6382
245	2080	6376
246	2087	6365
247	2096	6356
248	2104	6346
249	2113	6340
250	2121	6331
251	2131	6326
252	2139	6317
253	2147	6307
254	2155	6298
255	2163	6288
256	2172	6279
257	2180	6271
258	2189	6263
259	2197	6253
260	2205	6245
261	2215	6240
